time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),surface_pressure (hPa),windspeed_10m (km/h),diffuse_radiation (W/m²)
2023-06-06T00:00,29.2,85,0.00,1002.2,4.7,0.0
2023-06-06T01:00,28.7,88,0.00,1001.7,5.0,0.0
2023-06-06T02:00,28.3,90,0.00,1001.4,5.1,0.0
2023-06-06T03:00,28.0,91,0.00,1001.4,4.7,0.0
2023-06-06T04:00,27.7,93,0.00,1001.2,4.1,0.0
2023-06-06T05:00,27.4,94,0.00,1001.3,3.9,0.0
2023-06-06T06:00,27.7,94,0.00,1001.6,2.4,18.0
2023-06-06T07:00,29.5,87,0.00,1002.2,4.1,66.0
2023-06-06T08:00,31.0,81,0.00,1002.6,4.5,116.0
2023-06-06T09:00,32.6,74,0.00,1002.9,3.4,179.0
2023-06-06T10:00,34.6,63,0.00,1002.8,3.1,236.0
2023-06-06T11:00,36.4,53,0.00,1002.3,3.6,298.0
2023-06-06T12:00,36.8,50,0.00,1002.1,2.4,297.0
2023-06-06T13:00,37.7,45,0.00,1000.9,2.1,268.0
2023-06-06T14:00,38.1,44,0.00,1000.0,2.3,275.0
2023-06-06T15:00,38.1,43,0.00,998.7,2.2,247.0
2023-06-06T16:00,37.9,43,0.00,997.9,2.2,197.0
2023-06-06T17:00,37.5,43,0.00,997.6,1.1,127.0
2023-06-06T18:00,35.8,54,0.00,998.0,1.8,81.0
2023-06-06T19:00,33.9,66,0.00,998.8,2.3,14.0
2023-06-06T20:00,32.6,67,0.00,999.6,4.7,0.0
2023-06-06T21:00,31.4,72,0.00,1000.4,5.8,0.0
2023-06-06T22:00,30.8,76,0.00,1001.2,4.9,0.0
2023-06-06T23:00,30.1,80,0.00,1001.0,4.1,0.0
2023-06-07T00:00,29.5,84,0.00,1000.3,3.5,0.0
2023-06-07T01:00,29.2,89,0.00,999.7,3.7,0.0
2023-06-07T02:00,29.0,92,0.00,999.5,3.2,0.0
2023-06-07T03:00,28.8,95,0.00,999.4,3.3,0.0
2023-06-07T04:00,28.6,97,0.00,999.7,3.1,0.0
2023-06-07T05:00,28.6,98,0.00,1000.1,4.0,0.0
2023-06-07T06:00,28.5,95,0.00,1000.7,2.5,19.0
2023-06-07T07:00,30.1,90,0.00,1001.5,3.6,86.0
2023-06-07T08:00,31.6,83,0.00,1002.2,4.7,179.0
2023-06-07T09:00,33.0,77,0.00,1002.3,4.3,262.0
2023-06-07T10:00,34.2,69,0.20,1002.2,4.5,389.0
2023-06-07T11:00,34.9,65,0.10,1002.0,5.5,433.0
2023-06-07T12:00,34.1,67,0.00,1001.8,7.1,367.0
2023-06-07T13:00,32.2,75,0.80,1001.2,6.5,281.0
2023-06-07T14:00,33.1,74,0.10,1000.5,6.2,309.0
2023-06-07T15:00,33.0,72,0.20,999.7,7.2,329.0
2023-06-07T16:00,32.7,74,0.00,998.7,6.7,246.0
2023-06-07T17:00,32.1,78,0.00,998.2,6.4,123.0
2023-06-07T18:00,33.3,71,0.00,998.2,3.1,75.0
2023-06-07T19:00,31.5,79,0.00,998.7,4.3,12.0
2023-06-07T20:00,30.6,84,0.00,999.9,4.8,0.0
2023-06-07T21:00,30.2,86,0.00,1000.6,5.4,0.0
2023-06-07T22:00,30.0,87,0.00,1001.2,5.1,0.0
2023-06-07T23:00,29.7,88,0.00,1001.3,5.5,0.0
2023-06-08T00:00,29.4,89,0.00,1000.7,4.3,0.0
2023-06-08T01:00,29.0,91,0.00,1000.2,4.0,0.0
2023-06-08T02:00,28.8,93,0.00,999.9,3.7,0.0
2023-06-08T03:00,28.6,94,0.00,1000.0,3.0,0.0
2023-06-08T04:00,28.5,95,0.00,1000.0,2.3,0.0
2023-06-08T05:00,28.3,96,0.00,999.9,2.5,0.0
2023-06-08T06:00,29.2,94,0.00,1000.2,1.5,17.0
2023-06-08T07:00,30.1,91,0.00,1000.9,1.5,74.0
2023-06-08T08:00,31.1,87,0.00,1001.8,2.3,142.0
2023-06-08T09:00,31.8,84,0.00,1001.5,3.6,173.0
2023-06-08T10:00,31.8,81,2.20,1001.7,3.1,244.0
2023-06-08T11:00,30.7,87,1.90,1001.4,5.5,198.0
2023-06-08T12:00,29.1,93,0.10,1001.8,6.6,150.0
2023-06-08T13:00,28.6,94,1.70,1001.3,6.8,156.0
2023-06-08T14:00,28.9,92,0.10,1000.8,6.1,236.0
2023-06-08T15:00,29.2,90,0.00,999.8,4.6,222.0
2023-06-08T16:00,29.3,90,0.00,998.7,5.4,185.0
2023-06-08T17:00,29.2,91,0.00,998.2,3.8,123.0
2023-06-08T18:00,30.2,93,0.00,997.7,2.8,71.0
2023-06-08T19:00,29.6,95,0.00,998.5,3.1,11.0
2023-06-08T20:00,29.2,96,0.00,999.3,3.6,0.0
2023-06-08T21:00,29.0,97,0.00,999.6,4.3,0.0
2023-06-08T22:00,28.8,97,0.00,1000.0,4.8,0.0
2023-06-08T23:00,28.7,97,0.00,999.6,4.6,0.0
2023-06-09T00:00,28.0,96,0.00,999.9,3.1,0.0
2023-06-09T01:00,27.9,97,0.00,999.7,3.4,0.0
2023-06-09T02:00,27.8,97,0.00,999.3,4.1,0.0
2023-06-09T03:00,27.7,97,0.00,999.2,4.0,0.0
2023-06-09T04:00,27.7,98,0.00,998.8,3.0,0.0
2023-06-09T05:00,27.5,97,0.90,998.7,3.7,0.0
2023-06-09T06:00,28.1,98,0.10,999.0,0.4,8.0
2023-06-09T07:00,28.1,97,0.90,999.9,3.3,44.0
2023-06-09T08:00,28.1,96,1.40,1000.2,3.2,62.0
2023-06-09T09:00,28.0,96,1.00,1000.5,4.8,90.0
2023-06-09T10:00,27.9,96,1.30,1000.6,2.5,110.0
2023-06-09T11:00,28.5,93,0.10,1000.0,4.1,171.0
2023-06-09T12:00,30.0,86,0.40,999.5,5.4,259.0
2023-06-09T13:00,30.1,85,0.10,999.1,5.8,250.0
2023-06-09T14:00,30.1,85,0.00,998.7,6.6,201.0
2023-06-09T15:00,29.4,89,0.00,997.9,6.5,116.0
2023-06-09T16:00,29.5,89,0.00,997.3,4.9,144.0
2023-06-09T17:00,29.5,87,0.00,996.9,7.2,136.0
2023-06-09T18:00,29.2,90,0.00,997.5,4.7,56.0
2023-06-09T19:00,28.6,92,0.00,998.5,3.9,10.0
2023-06-09T20:00,28.2,94,0.00,999.0,4.9,0.0
2023-06-09T21:00,28.1,94,0.00,999.3,5.2,0.0
2023-06-09T22:00,27.8,94,0.00,999.7,6.4,0.0
2023-06-09T23:00,27.6,93,0.00,999.7,6.6,0.0
2023-06-10T00:00,26.2,92,0.00,999.3,4.5,0.0
2023-06-10T01:00,25.9,92,0.00,998.9,4.7,0.0
2023-06-10T02:00,25.6,92,0.00,998.5,3.3,0.0
2023-06-10T03:00,25.5,92,0.00,998.4,0.8,0.0
2023-06-10T04:00,25.3,93,0.00,998.2,1.4,0.0
2023-06-10T05:00,25.1,94,0.00,998.4,2.5,0.0
2023-06-10T06:00,25.2,93,0.00,998.5,2.1,11.0
2023-06-10T07:00,25.8,91,0.00,999.3,1.9,49.0
2023-06-10T08:00,26.4,89,0.00,999.6,2.2,84.0
2023-06-10T09:00,27.1,85,0.00,999.7,1.1,119.0
2023-06-10T10:00,27.7,84,0.00,999.9,1.8,162.0
2023-06-10T11:00,28.3,82,0.00,999.6,0.8,187.0
2023-06-10T12:00,29.5,75,0.00,999.2,0.8,199.0
2023-06-10T13:00,30.2,71,0.00,998.6,1.4,338.0
2023-06-10T14:00,30.8,69,0.00,997.8,2.5,343.0
2023-06-10T15:00,31.5,66,0.00,997.3,3.7,308.0
2023-06-10T16:00,31.7,66,0.00,996.7,2.6,247.0
2023-06-10T17:00,31.3,67,0.00,996.8,1.8,168.0
2023-06-10T18:00,29.6,77,0.00,997.0,6.5,82.0
2023-06-10T19:00,28.0,87,0.00,998.1,6.6,15.0
2023-06-10T20:00,27.1,92,0.00,999.0,5.7,0.0
2023-06-10T21:00,26.6,95,0.00,999.7,5.2,0.0
2023-06-10T22:00,26.4,96,0.00,1000.2,5.4,0.0
2023-06-10T23:00,26.2,96,0.00,999.7,4.8,0.0
2023-06-11T00:00,26.3,95,0.00,999.0,4.5,0.0
2023-06-11T01:00,26.3,96,0.00,998.3,3.9,0.0
2023-06-11T02:00,26.2,96,0.30,998.2,3.6,0.0
2023-06-11T03:00,26.1,96,0.50,998.2,3.1,0.0
2023-06-11T04:00,26.0,96,0.80,997.7,4.4,0.0
2023-06-11T05:00,25.8,97,0.00,997.8,4.7,0.0
2023-06-11T06:00,26.6,96,0.00,997.9,4.1,10.0
2023-06-11T07:00,27.2,94,0.00,998.6,4.2,69.0
2023-06-11T08:00,28.0,92,0.00,998.9,5.4,130.0
2023-06-11T09:00,29.8,84,0.00,999.1,6.2,203.0
2023-06-11T10:00,31.2,78,0.00,998.8,6.2,264.0
2023-06-11T11:00,31.8,75,0.00,998.6,6.6,301.0
2023-06-11T12:00,32.8,70,0.10,998.3,5.0,350.0
2023-06-11T13:00,33.1,71,0.00,997.7,6.8,301.0
2023-06-11T14:00,32.1,73,0.30,997.4,8.7,238.0
2023-06-11T15:00,31.7,74,0.10,997.1,9.8,238.0
2023-06-11T16:00,31.6,74,0.20,996.5,9.5,201.0
2023-06-11T17:00,30.5,77,0.30,996.6,8.0,165.0
2023-06-11T18:00,30.7,79,0.00,996.3,8.0,97.0
2023-06-11T19:00,29.6,85,0.00,997.2,7.4,18.0
2023-06-11T20:00,28.8,89,0.00,997.8,8.2,0.0
2023-06-11T21:00,28.3,91,0.00,999.1,6.6,0.0
2023-06-11T22:00,28.0,93,0.00,999.8,7.0,0.0
2023-06-11T23:00,27.7,94,0.00,999.8,7.7,0.0
2023-06-12T00:00,27.4,94,0.00,999.1,5.9,0.0
2023-06-12T01:00,27.2,95,0.00,998.6,5.6,0.0
2023-06-12T02:00,27.0,96,0.00,998.4,5.6,0.0
2023-06-12T03:00,26.9,97,0.00,998.1,5.6,0.0
2023-06-12T04:00,26.8,97,0.00,997.6,5.6,0.0
2023-06-12T05:00,26.7,97,0.00,997.6,5.1,0.0
2023-06-12T06:00,26.9,96,0.00,997.9,5.6,16.0
2023-06-12T07:00,28.3,91,0.00,998.8,6.9,84.0
2023-06-12T08:00,30.2,83,0.00,999.6,7.1,149.0
2023-06-12T09:00,31.4,79,0.30,999.8,8.2,171.0
2023-06-12T10:00,32.7,76,0.10,999.6,8.4,220.0
2023-06-12T11:00,33.8,69,0.20,999.1,8.9,251.0
2023-06-12T12:00,33.8,69,0.20,998.7,7.7,294.0
2023-06-12T13:00,33.8,68,0.20,998.3,7.0,346.0
2023-06-12T14:00,32.7,72,1.80,998.0,9.4,320.0
2023-06-12T15:00,31.8,76,1.90,997.6,5.4,276.0
2023-06-12T16:00,31.9,77,0.10,996.6,3.9,209.0
2023-06-12T17:00,32.0,78,0.10,996.5,3.6,174.0
2023-06-12T18:00,30.5,84,2.50,997.3,6.3,96.0
2023-06-12T19:00,29.2,86,0.30,998.1,7.0,10.0
2023-06-12T20:00,28.6,88,0.00,999.0,5.9,0.0
2023-06-12T21:00,28.3,90,0.00,999.5,6.6,0.0
2023-06-12T22:00,28.1,91,0.00,999.9,6.6,0.0
2023-06-12T23:00,27.9,93,0.00,1000.0,6.1,0.0
2023-06-13T00:00,27.1,95,0.00,999.7,5.1,0.0
2023-06-13T01:00,27.0,96,0.00,999.3,5.5,0.0
2023-06-13T02:00,26.9,97,0.00,998.8,5.3,0.0
2023-06-13T03:00,27.0,97,0.00,998.5,5.8,0.0
2023-06-13T04:00,27.1,97,0.00,997.9,5.7,0.0
2023-06-13T05:00,27.1,97,0.00,998.0,5.4,0.0
2023-06-13T06:00,26.7,97,0.00,998.5,4.8,16.0
2023-06-13T07:00,27.7,94,0.00,999.6,4.8,63.0
2023-06-13T08:00,28.5,91,0.30,999.8,9.4,110.0
2023-06-13T09:00,30.0,84,0.00,999.6,8.7,188.0
2023-06-13T10:00,31.3,77,0.20,999.6,4.1,244.0
2023-06-13T11:00,31.5,77,0.80,998.8,7.4,230.0
2023-06-13T12:00,33.8,70,0.30,998.4,5.2,297.0
2023-06-13T13:00,34.2,68,0.70,997.6,8.0,399.0
2023-06-13T14:00,34.2,69,0.40,997.0,9.0,407.0
2023-06-13T15:00,32.0,74,1.80,996.7,10.7,309.0
2023-06-13T16:00,31.8,75,0.20,995.8,6.9,234.0
2023-06-13T17:00,31.7,77,0.80,995.7,6.6,179.0
2023-06-13T18:00,30.4,83,0.00,995.8,6.2,103.0
2023-06-13T19:00,29.9,88,0.00,996.8,5.6,17.0
2023-06-13T20:00,29.7,89,0.00,997.8,6.8,0.0
2023-06-13T21:00,29.6,86,0.00,998.5,8.5,0.0
2023-06-13T22:00,29.1,87,0.00,998.8,6.9,0.0
2023-06-13T23:00,28.7,91,0.00,999.1,6.5,0.0
2023-06-14T00:00,28.4,92,0.00,997.4,8.1,0.0
2023-06-14T01:00,28.5,91,0.00,997.6,9.0,0.0
2023-06-14T02:00,28.2,91,0.00,997.4,8.7,0.0
2023-06-14T03:00,28.1,91,0.00,997.5,9.7,0.0
2023-06-14T04:00,28.1,89,0.00,997.1,11.6,0.0
2023-06-14T05:00,28.1,89,0.00,996.8,9.7,0.0
2023-06-14T06:00,28.1,92,0.00,997.8,5.9,17.0
2023-06-14T07:00,28.9,90,0.00,999.1,4.1,85.0
2023-06-14T08:00,29.7,86,0.00,999.1,11.2,111.0
2023-06-14T09:00,31.5,78,0.00,998.9,12.3,229.0
2023-06-14T10:00,32.7,72,0.00,998.4,13.7,268.0
2023-06-14T11:00,34.5,64,0.00,997.9,14.8,272.0
2023-06-14T12:00,35.8,55,0.00,998.6,11.3,383.0
2023-06-14T13:00,36.9,51,0.00,998.1,10.8,395.0
2023-06-14T14:00,37.1,50,0.00,997.5,10.8,362.0
2023-06-14T15:00,36.9,52,0.00,996.6,13.4,316.0
2023-06-14T16:00,36.2,55,0.00,996.1,13.1,254.0
2023-06-14T17:00,34.9,60,0.00,996.2,13.0,129.0
2023-06-14T18:00,34.2,64,0.00,996.5,10.2,69.0
2023-06-14T19:00,32.4,73,0.00,997.3,11.1,17.0
2023-06-14T20:00,31.3,78,0.00,997.8,13.7,0.0
2023-06-14T21:00,30.5,83,0.00,998.9,11.9,0.0
2023-06-14T22:00,30.1,86,0.00,999.8,9.0,0.0
2023-06-14T23:00,29.8,89,0.00,999.6,10.2,0.0
2023-06-15T00:00,30.2,89,0.00,999.6,7.3,0.0
2023-06-15T01:00,29.9,89,0.00,998.9,10.9,0.0
2023-06-15T02:00,29.6,88,0.00,998.4,11.2,0.0
2023-06-15T03:00,29.3,89,0.00,997.5,11.9,0.0
2023-06-15T04:00,29.3,89,0.00,997.8,11.9,0.0
2023-06-15T05:00,29.2,91,0.40,997.5,12.7,0.0
2023-06-15T06:00,29.4,91,0.10,998.6,11.6,10.0
2023-06-15T07:00,30.0,88,0.00,998.9,12.6,92.0
2023-06-15T08:00,31.6,83,0.00,999.6,14.9,150.0
2023-06-15T09:00,33.1,77,0.00,999.5,14.8,210.0
2023-06-15T10:00,34.2,73,0.00,999.5,13.8,289.0
2023-06-15T11:00,35.0,66,0.00,999.1,12.8,287.0
2023-06-15T12:00,35.1,66,0.00,1000.2,11.9,292.0
2023-06-15T13:00,34.6,68,0.30,999.8,12.6,309.0
2023-06-15T14:00,34.2,68,0.40,999.1,14.5,342.0
2023-06-15T15:00,34.1,68,0.00,997.9,16.4,385.0
2023-06-15T16:00,33.6,69,0.00,998.0,14.8,293.0
2023-06-15T17:00,32.8,72,0.00,997.5,15.1,206.0
2023-06-15T18:00,32.4,77,0.00,997.5,13.5,107.0
2023-06-15T19:00,31.1,82,0.00,998.2,11.5,20.0
2023-06-15T20:00,30.4,86,0.00,999.2,11.8,0.0
2023-06-15T21:00,30.0,89,0.00,1000.0,9.9,0.0
2023-06-15T22:00,29.7,91,0.10,1000.7,8.9,0.0
2023-06-15T23:00,29.8,91,0.00,1000.2,11.5,0.0
2023-06-16T00:00,29.7,91,0.00,999.4,9.7,0.0
2023-06-16T01:00,29.5,92,0.00,998.5,10.1,0.0
2023-06-16T02:00,29.3,92,0.00,997.8,12.3,0.0
2023-06-16T03:00,29.3,92,0.00,997.5,11.5,0.0
2023-06-16T04:00,29.3,91,0.00,997.5,11.5,0.0
2023-06-16T05:00,29.4,90,0.10,998.5,6.9,0.0
2023-06-16T06:00,29.1,94,0.20,999.2,7.4,15.0
2023-06-16T07:00,29.8,91,0.00,999.9,9.1,80.0
2023-06-16T08:00,30.8,85,0.00,999.9,13.3,163.0
2023-06-16T09:00,32.4,78,0.00,1000.1,13.9,250.0
2023-06-16T10:00,33.7,73,0.00,1000.0,12.8,321.0
2023-06-16T11:00,35.0,68,0.00,999.5,13.4,397.0
2023-06-16T12:00,35.8,63,0.00,1000.1,11.9,406.0
2023-06-16T13:00,36.5,57,0.10,999.5,12.7,297.0
2023-06-16T14:00,36.0,57,0.20,999.2,14.8,304.0
2023-06-16T15:00,34.5,66,0.40,999.1,14.8,306.0
2023-06-16T16:00,34.0,65,0.10,998.2,14.1,235.0
2023-06-16T17:00,33.2,67,0.10,998.3,13.0,156.0
2023-06-16T18:00,32.5,72,0.10,998.6,12.2,93.0
2023-06-16T19:00,31.5,76,0.00,999.4,11.7,19.0
2023-06-16T20:00,30.6,80,0.00,999.6,13.3,0.0
2023-06-16T21:00,30.0,84,0.00,1000.2,13.1,0.0
2023-06-16T22:00,29.6,86,0.00,1000.4,13.0,0.0
2023-06-16T23:00,29.5,86,0.00,1000.9,11.5,0.0
2023-06-17T00:00,29.5,86,0.00,1000.7,10.8,0.0
2023-06-17T01:00,29.5,86,0.10,1001.3,5.2,0.0
2023-06-17T02:00,29.0,88,0.80,1000.6,9.3,0.0
2023-06-17T03:00,28.8,89,0.00,1000.4,10.8,0.0
2023-06-17T04:00,28.6,89,0.00,999.9,10.8,0.0
2023-06-17T05:00,28.5,90,0.00,1000.3,11.2,0.0
2023-06-17T06:00,28.9,91,0.00,1001.2,8.4,17.0
2023-06-17T07:00,29.6,88,0.00,1001.8,12.6,87.0
2023-06-17T08:00,30.4,84,0.00,1002.3,14.5,152.0
2023-06-17T09:00,31.9,77,0.00,1002.2,15.2,224.0
2023-06-17T10:00,33.3,70,0.00,1001.9,16.7,234.0
2023-06-17T11:00,34.6,65,0.00,1001.6,17.7,245.0
2023-06-17T12:00,35.0,63,0.00,1002.5,14.5,273.0
2023-06-17T13:00,34.8,63,0.60,1001.5,12.6,301.0
2023-06-17T14:00,33.7,67,0.80,1000.7,13.9,356.0
2023-06-17T15:00,34.7,62,0.00,999.5,15.0,340.0
2023-06-17T16:00,34.4,63,0.00,999.1,14.9,288.0
2023-06-17T17:00,33.3,68,0.00,998.9,14.6,206.0
2023-06-17T18:00,31.4,74,0.00,1000.7,9.7,112.0
2023-06-17T19:00,30.1,81,0.00,1001.3,8.8,19.0
2023-06-17T20:00,29.3,85,0.00,1002.3,8.7,0.0
2023-06-17T21:00,28.8,88,0.00,1002.4,9.3,0.0
2023-06-17T22:00,28.6,90,0.00,1002.8,8.2,0.0
2023-06-17T23:00,28.4,91,0.00,1003.0,7.4,0.0
2023-06-18T00:00,28.2,94,0.00,1002.7,8.1,0.0
2023-06-18T01:00,28.1,93,0.00,1002.3,7.4,0.0
2023-06-18T02:00,28.2,93,0.00,1002.0,6.4,0.0
2023-06-18T03:00,28.1,93,0.00,1002.1,6.7,0.0
2023-06-18T04:00,28.1,93,0.00,1001.6,7.9,0.0
2023-06-18T05:00,28.0,93,0.00,1002.1,6.4,0.0
2023-06-18T06:00,28.2,93,0.00,1003.0,5.3,17.0
2023-06-18T07:00,28.9,91,0.10,1003.7,6.0,75.0
2023-06-18T08:00,29.8,87,0.10,1003.5,9.7,154.0
2023-06-18T09:00,30.9,82,0.00,1003.3,11.6,290.0
2023-06-18T10:00,31.6,79,0.00,1003.1,11.7,311.0
2023-06-18T11:00,32.5,73,0.00,1002.8,11.6,353.0
2023-06-18T12:00,31.1,82,0.00,1003.6,11.2,395.0
2023-06-18T13:00,32.1,76,0.00,1002.5,12.8,423.0
2023-06-18T14:00,32.1,75,0.00,1001.6,12.2,408.0
2023-06-18T15:00,32.3,73,0.00,1000.7,11.7,367.0
